"Category","Annual Mean"
1950,15.71
1951,15.84
1952,15.23
1953,15.38
1954,16.24
1955,16.68
1956,16.6
1957,16.89
1958,17.61
1959,17.12
1960,17.71
1961,16.31
1962,16.38
1963,16.92
1964,17.79
1965,16.73
1966,17.3
1967,16.46
1968,16.08
1969,16.76
1970,16.93
1971,16.13
1972,17.09
1973,17.08
1974,17.33
1975,17.29
1976,17.58
1977,17.65
1978,17.19
1979,17.51
1980,17.82
1981,16.96
1982,17.15
1983,17.15
1984,17.74
1985,17.59
1986,17.24
1987,17.86
1988,18.21
1989,17.41
1990,17.52
1991,17.59
1992,17.55
1993,17.66
1994,18
1995,17.53
1996,17.65
1997,16.53
1998,17.73
1999,18.18
2000,17.32
2001,17.77
2002,17.32
2003,17.32
2004,17.65
2005,17.87
2006,18.24
2007,17.76
2008,17.79
2009,18.58
2010,18.6
2011,17.53
2012,17.59
2013,17.66
2014,17.82
2015,17.77
2016,18.91
2017,18.62
2018,18.18
2019,17.86
2020,17.43
2021,18.18
2022,18.33
2023,18.43
