"Category","Annual Mean"
1950,6.66
1951,6.53
1952,6.42
1953,6.42
1954,6.71
1955,6.73
1956,6.88
1957,6.54
1958,7.56
1959,7.51
1960,7.18
1961,6.79
1962,6.68
1963,6.72
1964,6.79
1965,6.03
1966,6.68
1967,6.4
1968,6.69
1969,7.33
1970,7.6
1971,7.28
1972,7.05
1973,7.15
1974,6.7
1975,6.88
1976,6.83
1977,7.2
1978,6.76
1979,6.68
1980,6.78
1981,6.33
1982,6.42
1983,5.93
1984,6.8
1985,7.12
1986,6.38
1987,6.98
1988,7.44
1989,6.58
1990,7.13
1991,6.7
1992,6.6
1993,7.44
1994,7.06
1995,7.06
1996,7.12
1997,6.15
1998,7.83
1999,7.73
2000,7.13
2001,7.41
2002,7.24
2003,7.28
2004,7.44
2005,7.22
2006,7.79
2007,7.73
2008,7.6
2009,7.7
2010,8.03
2011,7.43
2012,6.81
2013,7.5
2014,7.3
2015,7.73
2016,8.49
2017,8.23
2018,7.94
2019,7.64
2020,7.76
2021,8.26
2022,8.48
2023,8.1
