"Category","Annual Mean"
1950,11.24
1951,11.21
1952,10.84
1953,10.9
1954,11.48
1955,11.68
1956,11.7
1957,11.73
1958,12.74
1959,12.35
1960,12.48
1961,11.65
1962,11.68
1963,11.69
1964,12.35
1965,11.53
1966,12.11
1967,11.65
1968,11.51
1969,12.13
1970,12.33
1971,11.76
1972,12.19
1973,12.25
1974,12.21
1975,12.29
1976,12.33
1977,12.54
1978,12.05
1979,12.48
1980,12.42
1981,11.75
1982,11.92
1983,11.71
1984,12.4
1985,12.52
1986,11.95
1987,12.56
1988,12.98
1989,12.13
1990,12.42
1991,12.29
1992,12.19
1993,12.63
1994,12.71
1995,12.53
1996,12.52
1997,11.55
1998,12.89
1999,13.12
2000,12.3
2001,12.67
2002,12.44
2003,12.43
2004,12.66
2005,12.68
2006,13.13
2007,12.85
2008,12.73
2009,13.23
2010,13.36
2011,12.51
2012,12.31
2013,12.71
2014,12.51
2015,12.67
2016,13.56
2017,13.24
2018,12.9
2019,12.62
2020,12.47
2021,13.09
2022,13.25
2023,13.17
