"Category","Annual Mean"
1950,74.93
1951,74.99
1952,78.17
1953,77.45
1954,70.61
1955,67.32
1956,70.5
1957,67.5
1958,69.5
1959,71.08
1960,67.65
1961,72.02
1962,72.58
1963,70.99
1964,65.65
1965,67.07
1966,67.04
1967,69.38
1968,71.09
1969,70.94
1970,71.07
1971,73.98
1972,69.23
1973,71.22
1974,69.99
1975,69.24
1976,69.92
1977,70.98
1978,71.57
1979,68.88
1980,70.19
1981,72.14
1982,71.38
1983,70.37
1984,69.83
1985,70.69
1986,70.32
1987,69.66
1988,69.76
1989,69.35
1990,72.74
1991,70.87
1992,70.38
1993,73.36
1994,71.12
1995,71.93
1996,72.59
1997,73.31
1998,73.87
1999,71.78
2000,74
2001,73.32
2002,73.44
2003,73.02
2004,73.79
2005,70.98
2006,71.92
2007,73.11
2008,72.55
2009,69.99
2010,71.21
2011,73.36
2012,70.34
2013,72.32
2014,71.9
2015,73.26
2016,72.97
2017,73.82
2018,72.67
2019,73.44
2020,75.18
2021,74.83
2022,75.12
2023,73.24
