"Category","Annual Mean"
1950,88.27
1951,91.14
1952,74.8
1953,102.32
1954,125.67
1955,114.46
1956,73.81
1957,101.2
1958,130.61
1959,70.84
1960,101.05
1961,95.06
1962,123.5
1963,125.2
1964,107.51
1965,93.41
1966,114.18
1967,107.92
1968,93.23
1969,79.03
1970,113.06
1971,78.11
1972,97.05
1973,114.5
1974,94.46
1975,82.03
1976,70.18
1977,83.29
1978,134.29
1979,96.61
1980,64.96
1981,96.48
1982,72.28
1983,84.55
1984,101
1985,84.44
1986,80.8
1987,130.35
1988,106.7
1989,94.19
1990,105.3
1991,71.38
1992,58.97
1993,79.95
1994,63.01
1995,101.81
1996,111.26
1997,81.56
1998,104.19
1999,104.84
2000,82.06
2001,87.67
2002,99.8
2003,96.89
2004,94.73
2005,79.59
2006,63.29
2007,102.09
2008,89.82
2009,94.43
2010,110.1
2011,81.52
2012,91.69
2013,83.18
2014,95.98
2015,71.47
2016,92.04
2017,105.43
2018,88.42
2019,103.5
2020,115.06
2021,90.77
2022,81.49
2023,71.51
